                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0128,                 2.0331,                 1.3633,                0.58845,                0.75481,                0.72857,                0.50848,                0.99441,                 1.5436,                 1.5616,             0.00047361,             0.00047361,             0.00047361
                      2,                0.98947,                 1.5129,                 1.3428,                0.57892,                0.68382,                0.62327,                0.41274,                 1.0696,                 1.4929,                 1.6847,             0.00094054,             0.00094054,             0.00094054
                      3,                 1.0014,                 1.3123,                 1.3411,                0.57021,                0.79427,                0.69431,                0.46137,                  1.085,                 1.3533,                 1.6331,               0.001398,               0.001398,               0.001398
                      4,                0.98207,                 1.1961,                 1.3226,                0.71131,                0.73343,                0.77147,                0.57195,                 0.9149,                 1.1137,                 1.4796,              0.0013866,              0.0013866,              0.0013866
                      5,                0.94506,                 1.0991,                 1.3038,                0.76104,                 0.7964,                0.81681,                0.60534,                0.88267,                 0.8903,                 1.4162,              0.0013724,              0.0013724,              0.0013724
                      6,                0.92296,                 1.0586,                 1.2948,                0.66558,                0.86061,                0.82237,                0.60733,                0.88597,                0.91853,                 1.4366,              0.0013583,              0.0013583,              0.0013583
                      7,                0.90371,                 1.0028,                 1.2686,                0.81963,                0.84018,                0.88104,                0.68968,                0.76373,                0.75608,                  1.295,              0.0013441,              0.0013441,              0.0013441
                      8,                0.87804,                0.97999,                 1.2542,                0.75229,                0.83506,                0.85213,                0.66662,                0.79562,                0.79109,                 1.3264,                0.00133,                0.00133,                0.00133
                      9,                0.86003,                0.95459,                 1.2497,                0.70769,                0.68107,                0.80144,                0.61844,                0.83104,                 1.0372,                 1.3708,              0.0013158,              0.0013158,              0.0013158
                     10,                0.86709,                0.92216,                 1.2471,                 0.7952,                0.87955,                0.89636,                0.71626,                0.75083,                0.68021,                 1.2948,              0.0013017,              0.0013017,              0.0013017
                     11,                0.85046,                0.92252,                 1.2364,                0.79105,                0.88335,                0.90326,                0.73093,                0.71283,                0.70352,                 1.2457,              0.0012875,              0.0012875,              0.0012875
                     12,                0.84013,                0.90425,                 1.2261,                0.83509,                0.84713,                0.90615,                0.72567,                0.75636,                0.66434,                 1.2897,              0.0012734,              0.0012734,              0.0012734
                     13,                0.81744,                 0.8701,                 1.2168,                0.84683,                0.85642,                0.91614,                0.74669,                0.70286,                0.62379,                 1.2388,              0.0012592,              0.0012592,              0.0012592
                     14,                0.82757,                0.86326,                 1.2216,                0.79804,                0.83559,                0.88596,                  0.704,                0.74942,                0.70856,                 1.2912,              0.0012451,              0.0012451,              0.0012451
                     15,                0.81162,                0.83937,                  1.211,                0.83141,                0.89136,                0.92379,                0.75859,                0.67924,                0.58935,                 1.2173,              0.0012309,              0.0012309,              0.0012309
                     16,                0.79551,                0.80975,                 1.1916,                0.81181,                0.88106,                0.91489,                0.73653,                0.71176,                0.62188,                 1.2471,              0.0012168,              0.0012168,              0.0012168
                     17,                0.80468,                0.81607,                 1.1986,                0.83767,                0.90636,                0.92642,                0.75084,                0.70792,                0.60249,                 1.2289,              0.0012026,              0.0012026,              0.0012026
                     18,                0.78827,                0.80255,                 1.1848,                0.85324,                0.86013,                0.93113,                0.76939,                0.67054,                 0.5774,                 1.2054,              0.0011885,              0.0011885,              0.0011885
