                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0546,                0.76602,                 1.2033,                 0.8208,                0.73523,                0.80659,                0.51671,                 1.2547,                0.83933,                 1.3222,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0653,                0.76107,                 1.2059,                0.84109,                0.76416,                0.83283,                0.53785,                 1.1979,                0.80338,                 1.2937,               0.001307,               0.001307,               0.001307
                     37,                 1.0689,                0.75298,                 1.1997,                 0.8066,                0.76721,                0.82389,                0.52626,                 1.2267,                0.81896,                 1.2997,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0452,                 0.7464,                 1.2002,                0.84013,                0.77505,                0.83084,                0.54244,                  1.215,                0.79336,                 1.3028,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0621,                0.76106,                 1.2033,                0.85427,                0.77166,                0.84768,                0.54949,                  1.214,                0.78722,                 1.3021,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0432,                0.73461,                 1.1889,                 0.8193,                0.77477,                0.83815,                0.54827,                 1.1853,                0.77862,                 1.2763,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0435,                0.74163,                 1.1954,                0.85129,                0.75789,                0.84002,                0.54827,                 1.1861,                0.78196,                  1.276,               0.001208,               0.001208,               0.001208
                     42,                  1.053,                 0.7265,                 1.1844,                0.82438,                0.75966,                 0.8191,                  0.519,                 1.2649,                0.79774,                 1.3237,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0459,                0.71925,                  1.186,                0.83573,                0.77521,                0.84216,                0.53991,                 1.1954,                0.77889,                 1.2733,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0447,                0.72794,                 1.1792,                0.85415,                0.78187,                0.84995,                0.55812,                 1.1782,                0.75601,                 1.2657,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0367,                0.72025,                   1.19,                0.83436,                0.78098,                0.84575,                0.55479,                 1.1946,                0.75775,                 1.2704,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0276,                0.71084,                 1.1743,                0.84058,                0.76833,                0.84093,                0.55747,                 1.1693,                0.78009,                  1.276,               0.001109,               0.001109,               0.001109
                     47,                 1.0318,                0.71196,                 1.1786,                0.82535,                 0.7992,                0.83982,                0.55253,                 1.1712,                 0.7675,                 1.2694,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0144,                0.69788,                 1.1669,                0.82899,                0.76766,                0.83362,                0.55759,                 1.1695,                0.76236,                 1.2621,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0195,                0.69556,                 1.1658,                0.82703,                0.77121,                0.84252,                0.55862,                 1.1668,                0.76088,                 1.2594,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0073,                 0.6777,                  1.154,                0.84266,                0.77255,                0.84139,                0.54896,                 1.1994,                0.76973,                 1.2838,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0213,                0.68694,                  1.168,                0.84417,                0.78276,                0.84288,                0.55419,                 1.1877,                0.75739,                 1.2662,                0.00101,                0.00101,                0.00101
                     52,                 1.0075,                0.68379,                 1.1614,                0.84238,                0.77965,                0.84602,                0.55858,                 1.1669,                0.74131,                 1.2579,              0.0009902,              0.0009902,              0.0009902
                     53,                      1,                0.67728,                 1.1553,                0.83489,                0.78321,                0.83796,                0.55724,                  1.172,                0.75688,                 1.2716,              0.0009704,              0.0009704,              0.0009704
                     54,                0.98777,                0.67637,                 1.1583,                0.85137,                0.78454,                0.85292,                0.56538,                 1.1487,                0.73818,                 1.2459,              0.0009506,              0.0009506,              0.0009506
                     55,                0.98329,                0.67096,                 1.1518,                0.82845,                0.79165,                 0.8489,                0.56726,                 1.1619,                 0.7293,                 1.2645,              0.0009308,              0.0009308,              0.0009308
                     56,                0.98725,                0.66015,                 1.1538,                0.84318,                0.77389,                0.84857,                 0.5661,                 1.1705,                0.72967,                 1.2647,               0.000911,               0.000911,               0.000911
                     57,                0.98715,                0.66749,                  1.155,                0.85314,                0.79165,                0.85405,                0.56281,                 1.1581,                0.72722,                 1.2525,              0.0008912,              0.0008912,              0.0008912
                     58,                  0.959,                0.64029,                 1.1302,                0.83768,                0.80142,                0.85638,                0.56924,                 1.1548,                0.71486,                  1.249,              0.0008714,              0.0008714,              0.0008714
                     59,                0.97682,                0.66169,                 1.1533,                0.82356,                0.79609,                0.84976,                0.56282,                 1.1834,                0.73004,                 1.2743,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97704,                0.65088,                 1.1483,                0.83157,                0.75966,                0.83615,                0.55678,                 1.1721,                0.73463,                 1.2572,              0.0008318,              0.0008318,              0.0008318
                     61,                0.95772,                0.64338,                 1.1351,                   0.83,                0.79166,                 0.8571,                0.57783,                 1.1375,                0.70529,                 1.2474,               0.000812,               0.000812,               0.000812
                     62,                0.96798,                  0.651,                 1.1397,                 0.8557,                0.78676,                0.85703,                0.57274,                 1.1523,                0.71912,                 1.2449,              0.0007922,              0.0007922,              0.0007922
                     63,                0.93199,                0.62513,                 1.1263,                0.83657,                0.79609,                 0.8574,                 0.5725,                 1.1568,                0.71055,                 1.2622,              0.0007724,              0.0007724,              0.0007724
                     64,                0.96125,                0.63978,                 1.1395,                0.85518,                0.78943,                0.85748,                0.57499,                 1.1351,                0.69271,                 1.2524,              0.0007526,              0.0007526,              0.0007526
                     65,                0.93995,                0.63286,                 1.1277,                0.85726,                0.79476,                0.86192,                0.57528,                 1.1554,                0.70573,                 1.2511,              0.0007328,              0.0007328,              0.0007328
                     66,                0.94692,                0.62623,                 1.1332,                0.84947,                0.78809,                0.85188,                0.57508,                 1.1467,                0.70714,                   1.26,               0.000713,               0.000713,               0.000713
                     67,                 0.9385,                0.61817,                 1.1249,                0.84305,                0.78809,                0.85268,                0.56993,                 1.1671,                0.70421,                 1.2626,              0.0006932,              0.0006932,              0.0006932
                     68,                0.94382,                0.62457,                 1.1312,                 0.8432,                0.78987,                0.84977,                0.56686,                 1.1548,                0.71632,                 1.2633,              0.0006734,              0.0006734,              0.0006734
                     69,                0.94714,                0.62413,                 1.1286,                0.82985,                0.78987,                0.85226,                0.56966,                 1.1634,                0.69817,                 1.2656,              0.0006536,              0.0006536,              0.0006536
                     70,                0.92846,                0.62185,                 1.1265,                0.84026,                0.80142,                0.85105,                 0.5681,                 1.1547,                0.71734,                 1.2589,              0.0006338,              0.0006338,              0.0006338
                     71,                0.93193,                0.61453,                 1.1233,                0.82632,                0.80529,                0.85451,                0.57255,                 1.1447,                0.69977,                 1.2591,               0.000614,               0.000614,               0.000614
                     72,                0.94642,                0.61534,                 1.1212,                0.86467,                0.78622,                 0.8574,                0.57464,                 1.1564,                0.70386,                 1.2585,              0.0005942,              0.0005942,              0.0005942
                     73,                0.92587,                0.60225,                 1.1188,                 0.8534,                0.78617,                0.85366,                0.57118,                 1.1561,                0.70501,                 1.2626,              0.0005744,              0.0005744,              0.0005744
                     74,                0.90956,                0.59761,                 1.1075,                0.86024,                0.77965,                0.85376,                0.57059,                 1.1627,                0.71291,                 1.2654,              0.0005546,              0.0005546,              0.0005546
                     75,                0.91645,                0.59865,                 1.1098,                0.84919,                0.78454,                0.85348,                0.57242,                 1.1523,                0.69618,                 1.2481,              0.0005348,              0.0005348,              0.0005348
                     76,                0.91749,                0.59657,                 1.1108,                0.84046,                0.80275,                0.86088,                0.58016,                 1.1406,                0.69723,                 1.2529,               0.000515,               0.000515,               0.000515
                     77,                0.88682,                0.57712,                 1.1014,                 0.8587,                0.79254,                0.85871,                0.57993,                 1.1374,                0.68286,                 1.2542,              0.0004952,              0.0004952,              0.0004952
                     78,                0.89113,                0.57941,                 1.0958,                0.83798,                0.80881,                 0.8659,                0.57951,                 1.1397,                 0.6933,                 1.2453,              0.0004754,              0.0004754,              0.0004754
                     79,                0.90964,                0.58544,                 1.1033,                0.83588,                0.80777,                 0.8561,                0.57707,                   1.14,                0.69141,                 1.2454,              0.0004556,              0.0004556,              0.0004556
                     80,                0.89559,                0.57837,                 1.0996,                0.85332,                0.78566,                0.85844,                0.57752,                 1.1483,                0.69149,                 1.2589,              0.0004358,              0.0004358,              0.0004358
                     81,                0.89547,                0.57266,                 1.1013,                0.84176,                0.80346,                0.86048,                0.58143,                 1.1353,                0.68089,                 1.2511,               0.000416,               0.000416,               0.000416
                     82,                0.93201,                0.58492,                 1.1023,                0.85282,                0.79343,                0.86188,                 0.5824,                  1.136,                0.68161,                 1.2437,              0.0003962,              0.0003962,              0.0003962
                     83,                0.89133,                 0.5731,                 1.0936,                 0.8637,                 0.7912,                0.86578,                0.58459,                 1.1302,                0.68169,                 1.2389,              0.0003764,              0.0003764,              0.0003764
                     84,                0.88391,                0.56836,                 1.0877,                0.87645,                0.78765,                0.86663,                0.58653,                 1.1231,                0.67358,                 1.2358,              0.0003566,              0.0003566,              0.0003566
                     85,                0.89104,                0.56661,                 1.0951,                0.85816,                0.80093,                0.86733,                0.58546,                 1.1298,                0.67593,                 1.2395,              0.0003368,              0.0003368,              0.0003368
                     86,                0.87417,                0.56655,                 1.0892,                0.85504,                0.80707,                0.86905,                0.58814,                 1.1234,                0.67546,                 1.2401,               0.000317,               0.000317,               0.000317
                     87,                0.86895,                0.56438,                 1.0876,                0.84378,                0.80586,                 0.8603,                0.58442,                 1.1303,                0.68557,                 1.2446,              0.0002972,              0.0002972,              0.0002972
                     88,                0.86063,                0.55858,                  1.087,                0.85588,                0.80142,                0.86447,                0.58702,                 1.1246,                0.68684,                 1.2379,              0.0002774,              0.0002774,              0.0002774
                     89,                0.86308,                0.54894,                 1.0817,                0.86575,                0.79933,                 0.8668,                0.58693,                  1.131,                0.67966,                 1.2444,              0.0002576,              0.0002576,              0.0002576
                     90,                0.85877,                0.54656,                  1.078,                0.85947,                 0.7952,                0.86295,                 0.5865,                 1.1294,                0.67954,                 1.2356,              0.0002378,              0.0002378,              0.0002378
                     91,                0.83302,                0.48212,                 1.0401,                0.84558,                0.78987,                0.85958,                0.58588,                 1.1215,                0.66972,                 1.2351,               0.000218,               0.000218,               0.000218
                     92,                0.81167,                0.46502,                 1.0344,                0.85251,                0.80373,                0.86205,                0.58568,                 1.1192,                0.66968,                 1.2437,              0.0001982,              0.0001982,              0.0001982
                     93,                0.81162,                0.46362,                 1.0258,                0.85489,                 0.8032,                0.86518,                 0.5852,                 1.1234,                0.67764,                 1.2448,              0.0001784,              0.0001784,              0.0001784
                     94,                0.81013,                0.46291,                 1.0276,                0.83922,                0.80928,                0.86477,                0.58603,                 1.1224,                 0.6708,                 1.2427,              0.0001586,              0.0001586,              0.0001586
                     95,                0.80725,                0.45676,                 1.0217,                0.84362,                0.81002,                0.86423,                0.58831,                 1.1162,                0.67261,                 1.2469,              0.0001388,              0.0001388,              0.0001388
                     96,                0.78868,                0.44864,                 1.0168,                0.84076,                0.80919,                0.86061,                0.58658,                 1.1195,                0.67684,                 1.2467,               0.000119,               0.000119,               0.000119
                     97,                0.79579,                0.45634,                 1.0194,                0.84799,                0.80542,                0.86509,                0.58997,                 1.1139,                0.66778,                 1.2404,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.7904,                0.44925,                   1.02,                0.84803,                0.80321,                0.86357,                0.58992,                 1.1166,                0.67265,                  1.244,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.78763,                0.44814,                 1.0145,                0.84561,                0.80784,                0.86409,                0.58891,                 1.1196,                0.67023,                 1.2457,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.78915,                0.44279,                  1.018,                0.85305,                0.80631,                0.86388,                0.58944,                 1.1189,                0.66819,                 1.2479,               3.98e-05,               3.98e-05,               3.98e-05
