                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97906,                 1.9179,                  1.345,                0.72737,                0.47827,                0.54245,                0.36237,                 1.0575,                 2.5348,                 1.6309,              0.0004744,              0.0004744,              0.0004744
                      2,                0.96475,                 1.3726,                 1.3202,                0.62081,                0.79806,                0.76375,                0.54759,                 1.0132,                 1.1786,                 1.5495,             0.00094133,             0.00094133,             0.00094133
                      3,                0.96028,                 1.2004,                 1.3103,                0.58802,                0.54096,                0.53671,                0.34718,                 1.2358,                 1.6098,                 1.6829,              0.0013988,              0.0013988,              0.0013988
                      4,                 0.9727,                 1.1173,                 1.3155,                0.57919,                0.84657,                0.74196,                0.53056,                0.91664,                 1.0927,                 1.4584,              0.0013866,              0.0013866,              0.0013866
                      5,                0.91921,                 1.0489,                 1.2849,                 0.7825,                0.84274,                0.87589,                0.68474,                0.79117,                0.74661,                 1.3021,              0.0013724,              0.0013724,              0.0013724
                      6,                0.89102,                0.98893,                 1.2636,                0.77994,                0.82091,                0.85997,                0.68591,                0.76221,                0.76087,                 1.2872,              0.0013583,              0.0013583,              0.0013583
                      7,                0.87153,                0.93727,                 1.2513,                0.64113,                0.85537,                0.80099,                0.63737,                0.76272,                0.87551,                 1.2539,              0.0013441,              0.0013441,              0.0013441
                      8,                0.85024,                0.91924,                 1.2356,                0.80509,                0.78105,                0.89124,                0.70944,                0.74906,                0.75005,                 1.2466,                0.00133,                0.00133,                0.00133
                      9,                0.83257,                0.90231,                 1.2279,                 0.7673,                0.83627,                0.87314,                0.70504,                0.76165,                0.75852,                 1.2679,              0.0013158,              0.0013158,              0.0013158
                     10,                0.82868,                 0.8594,                 1.2196,                0.80022,                0.88032,                0.90663,                0.74276,                0.71273,                0.64515,                 1.2246,              0.0013017,              0.0013017,              0.0013017
                     11,                 0.8229,                0.84604,                 1.2038,                 0.8371,                 0.8482,                0.90884,                0.74419,                0.70379,                0.63052,                 1.2088,              0.0012875,              0.0012875,              0.0012875
                     12,                0.80334,                0.83182,                 1.2034,                0.81443,                0.88272,                 0.9086,                0.74437,                0.69723,                0.60575,                 1.1995,              0.0012734,              0.0012734,              0.0012734
                     13,                0.78955,                0.80162,                 1.1941,                0.80462,                0.92138,                0.92268,                0.76372,                0.68301,                0.59365,                 1.1913,              0.0012592,              0.0012592,              0.0012592
                     14,                  0.784,                0.79579,                 1.1923,                0.82933,                0.86899,                0.91639,                0.75888,                0.68398,                0.59632,                 1.1943,              0.0012451,              0.0012451,              0.0012451
                     15,                0.78535,                0.78553,                 1.1936,                0.80595,                0.87512,                0.90022,                0.74296,                0.68459,                0.62121,                 1.1923,              0.0012309,              0.0012309,              0.0012309
                     16,                0.77292,                0.77212,                 1.1812,                0.86772,                0.83501,                0.91856,                0.74972,                0.71078,                0.59783,                 1.2165,              0.0012168,              0.0012168,              0.0012168
                     17,                0.76906,                0.75462,                 1.1725,                0.86593,                0.84038,                0.92161,                0.76731,                  0.657,                0.57943,                 1.1565,              0.0012026,              0.0012026,              0.0012026
                     18,                0.75896,                0.74612,                   1.17,                0.80144,                0.91326,                0.92008,                0.77223,                0.64514,                0.54996,                  1.163,              0.0011885,              0.0011885,              0.0011885
                     19,                0.75708,                0.73572,                 1.1664,                0.86245,                0.91112,                  0.932,                0.78265,                0.65016,                0.50973,                 1.1554,              0.0011744,              0.0011744,              0.0011744
                     20,                0.73682,                0.71626,                 1.1562,                0.87891,                0.88831,                0.94153,                0.79594,                0.63543,                0.50458,                 1.1447,              0.0011602,              0.0011602,              0.0011602
                     21,                 0.7511,                0.71748,                 1.1603,                0.80179,                0.86579,                0.91782,                0.77682,                0.65159,                0.59539,                 1.1549,              0.0011461,              0.0011461,              0.0011461
                     22,                0.73548,                0.71267,                 1.1537,                0.83694,                0.86778,                 0.9245,                0.77335,                0.65495,                0.53723,                 1.1751,              0.0011319,              0.0011319,              0.0011319
                     23,                0.72944,                0.70018,                 1.1508,                0.82593,                0.88192,                0.93063,                0.77872,                0.64469,                0.56599,                  1.162,              0.0011178,              0.0011178,              0.0011178
                     24,                0.73279,                0.68563,                 1.1575,                0.79744,                0.90284,                0.91294,                0.76612,                0.63395,                0.54955,                 1.1318,              0.0011036,              0.0011036,              0.0011036
                     25,                0.73302,                0.68051,                 1.1537,                0.85188,                0.89343,                0.92695,                0.78992,                0.62042,                0.51597,                 1.1319,              0.0010895,              0.0010895,              0.0010895
                     26,                0.71902,                0.67073,                 1.1491,                0.85772,                0.91362,                0.94464,                0.80597,                0.59597,                0.48506,                 1.0993,              0.0010753,              0.0010753,              0.0010753
                     27,                0.72737,                0.66959,                 1.1453,                0.85047,                0.90233,                0.93352,                0.78666,                0.63704,                0.49552,                 1.1403,              0.0010612,              0.0010612,              0.0010612
                     28,                 0.7103,                0.66182,                 1.1393,                0.89678,                0.92839,                0.95659,                0.81783,                0.60563,                0.46396,                 1.1067,               0.001047,               0.001047,               0.001047
                     29,                0.70851,                 0.6408,                 1.1343,                0.86038,                0.89584,                0.92523,                0.78809,                0.60626,                0.49484,                  1.116,              0.0010329,              0.0010329,              0.0010329
                     30,                0.71059,                0.65082,                 1.1354,                0.84894,                0.92961,                0.94529,                0.79392,                0.64919,                0.49684,                 1.1431,              0.0010187,              0.0010187,              0.0010187
                     31,                0.70946,                0.64785,                 1.1394,                0.88061,                 0.9248,                0.95052,                0.81494,                0.60707,                0.46592,                 1.1061,              0.0010046,              0.0010046,              0.0010046
                     32,                0.71175,                0.64735,                  1.136,                0.88678,                 0.9399,                0.95798,                  0.819,                0.61898,                0.46041,                 1.1017,             0.00099044,             0.00099044,             0.00099044
                     33,                0.70011,                 0.6305,                 1.1315,                0.90132,                0.91993,                0.95636,                0.81607,                0.61088,                 0.4602,                 1.1103,             0.00097629,             0.00097629,             0.00097629
                     34,                0.69554,                0.62512,                 1.1306,                0.90957,                0.92779,                0.96517,                0.83597,                0.59366,                0.41393,                 1.0936,             0.00096215,             0.00096215,             0.00096215
                     35,                 0.6972,                0.62244,                 1.1247,                0.89523,                0.93168,                0.96015,                0.83463,                 0.5754,                0.42512,                 1.0729,               0.000948,               0.000948,               0.000948
                     36,                0.68652,                0.61299,                 1.1301,                0.90319,                0.94698,                0.96381,                0.82658,                0.59484,                0.41924,                 1.0912,             0.00093385,             0.00093385,             0.00093385
                     37,                0.68954,                0.60253,                 1.1249,                0.88075,                0.92273,                0.95946,                0.82545,                 0.5947,                0.45148,                 1.0906,              0.0009197,              0.0009197,              0.0009197
                     38,                0.67976,                0.60768,                 1.1193,                0.88628,                0.91583,                0.95159,                0.82478,                0.59289,                0.43942,                 1.0977,             0.00090556,             0.00090556,             0.00090556
                     39,                0.67893,                0.60118,                 1.1172,                0.89489,                0.92449,                 0.9603,                0.83008,                0.59186,                 0.4322,                  1.095,             0.00089141,             0.00089141,             0.00089141
                     40,                0.66808,                0.58396,                 1.1129,                 0.9229,                0.93045,                0.96948,                0.84497,                0.57401,                0.39647,                 1.0783,             0.00087726,             0.00087726,             0.00087726
                     41,                 0.6835,                0.58665,                 1.1203,                 0.8906,                0.93104,                0.96655,                0.83894,                 0.5717,                0.41338,                 1.0794,             0.00086312,             0.00086312,             0.00086312
                     42,                0.67205,                0.59343,                 1.1102,                0.88576,                0.92738,                0.96143,                0.83521,                0.57902,                0.43008,                 1.0814,             0.00084897,             0.00084897,             0.00084897
                     43,                0.67238,                0.57866,                 1.1117,                0.93123,                0.92209,                0.97089,                0.85168,                0.56206,                0.38957,                 1.0669,             0.00083482,             0.00083482,             0.00083482
                     44,                 0.6614,                0.56055,                 1.1088,                0.92141,                0.94408,                0.96741,                0.83768,                  0.579,                0.40328,                 1.0806,             0.00082067,             0.00082067,             0.00082067
                     45,                 0.6638,                 0.5659,                 1.1035,                0.93102,                0.90629,                0.96409,                0.84696,                0.56633,                0.41219,                 1.0583,             0.00080653,             0.00080653,             0.00080653
                     46,                0.66061,                0.56219,                 1.1071,                0.91064,                0.94577,                0.97031,                0.85031,                0.55991,                0.38703,                 1.0582,             0.00079238,             0.00079238,             0.00079238
