                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4588,                 1.5705,                 1.6004,                0.00617,                0.36695,                0.00384,                0.00176,                 2.9513,                    inf,                 6.1394,             0.00066219,             0.00066219,             0.00066219
                      2,                 1.7262,                 1.6948,                  1.782,                0.53158,                0.47934,                0.45312,                0.19743,                 2.0036,                 2.4773,                 2.2085,              0.0013285,              0.0013285,              0.0013285
                      3,                 1.6543,                 1.5436,                 1.7056,                0.58148,                0.55442,                0.56827,                0.28923,                  1.664,                 2.0868,                 1.8374,              0.0019936,              0.0019936,              0.0019936
                      4,                 1.5746,                 1.4729,                 1.6733,                0.38712,                0.40293,                0.32744,                0.15027,                 1.9784,                   2.92,                 2.0434,              0.0019956,              0.0019956,              0.0019956
                      5,                 1.5204,                 1.3531,                 1.6157,                 0.6538,                 0.5251,                0.54934,                0.28231,                 1.6977,                 1.6982,                 1.9055,              0.0019922,              0.0019922,              0.0019922
                      6,                 1.4872,                 1.3236,                  1.589,                0.68488,                0.66371,                0.68807,                0.37682,                 1.5424,                 1.3184,                 1.6836,              0.0019878,              0.0019878,              0.0019878
                      7,                 1.4199,                 1.2403,                 1.5549,                0.74045,                0.69706,                0.73263,                0.40573,                  1.471,                 1.2477,                 1.6374,              0.0019825,              0.0019825,              0.0019825
                      8,                 1.3782,                 1.1882,                 1.5367,                0.76274,                0.66637,                0.72006,                0.40949,                 1.4111,                 1.1806,                 1.5734,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.3631,                 1.1574,                 1.5126,                 0.7517,                 0.6832,                0.74223,                0.44192,                 1.3656,                 1.1149,                 1.5616,              0.0019689,              0.0019689,              0.0019689
                     10,                  1.343,                 1.1046,                 1.5053,                0.75857,                0.66726,                0.73681,                0.43543,                 1.4201,                 1.0633,                 1.5649,              0.0019607,              0.0019607,              0.0019607
                     11,                 1.2977,                 1.0835,                 1.4837,                0.74456,                0.68147,                0.73043,                0.43322,                 1.3972,                 1.0652,                 1.5858,              0.0019515,              0.0019515,              0.0019515
                     12,                 1.3012,                 1.0695,                 1.4747,                0.76543,                0.71467,                0.77025,                 0.4691,                 1.3396,                 1.0208,                 1.5177,              0.0019415,              0.0019415,              0.0019415
                     13,                 1.2802,                 1.0204,                 1.4506,                0.81906,                0.68769,                0.76598,                0.47133,                 1.3132,                 1.0067,                   1.49,              0.0019305,              0.0019305,              0.0019305
                     14,                 1.2724,                 1.0251,                 1.4531,                0.78055,                0.70502,                0.77604,                0.47181,                 1.3619,                 0.9875,                 1.5425,              0.0019186,              0.0019186,              0.0019186
                     15,                 1.2368,                 0.9942,                 1.4278,                0.77149,                0.74242,                0.78932,                 0.4938,                 1.2844,                0.96764,                 1.4771,              0.0019058,              0.0019058,              0.0019058
                     16,                 1.2259,                0.96603,                 1.4271,                0.77279,                0.71613,                0.77117,                0.47248,                 1.3003,                0.98974,                 1.4794,              0.0018921,              0.0018921,              0.0018921
                     17,                 1.2157,                0.96227,                 1.4133,                0.79149,                0.70995,                0.77061,                0.46249,                  1.352,                 1.0088,                 1.5183,              0.0018775,              0.0018775,              0.0018775
                     18,                 1.1901,                0.92194,                 1.4059,                0.80075,                0.72126,                0.79573,                0.49573,                 1.2833,                0.91365,                 1.4721,              0.0018621,              0.0018621,              0.0018621
                     19,                 1.1837,                0.92629,                 1.4018,                0.79604,                 0.7139,                0.78758,                0.48836,                 1.2787,                0.98944,                 1.4701,              0.0018459,              0.0018459,              0.0018459
                     20,                 1.1691,                0.90032,                 1.3782,                0.79843,                0.73026,                0.78828,                0.50814,                 1.2384,                0.90487,                 1.4476,              0.0018288,              0.0018288,              0.0018288
                     21,                  1.174,                0.89045,                 1.3724,                0.76563,                  0.745,                0.79868,                0.50323,                 1.2403,                0.93188,                 1.4273,              0.0018109,              0.0018109,              0.0018109
                     22,                 1.1365,                0.87675,                 1.3764,                0.82324,                0.75122,                0.81928,                0.51911,                 1.2196,                0.85636,                 1.4288,              0.0017923,              0.0017923,              0.0017923
                     23,                 1.1455,                0.84793,                  1.357,                 0.8272,                0.73789,                0.81002,                0.51225,                 1.2505,                0.85118,                 1.4332,              0.0017728,              0.0017728,              0.0017728
                     24,                 1.1646,                0.86157,                 1.3705,                0.83541,                0.73958,                0.82134,                0.53088,                 1.2226,                0.82655,                 1.4358,              0.0017526,              0.0017526,              0.0017526
                     25,                 1.1375,                0.82942,                 1.3615,                0.81735,                0.75343,                 0.8139,                0.52551,                  1.204,                0.84508,                 1.4178,              0.0017317,              0.0017317,              0.0017317
                     26,                 1.1177,                0.84756,                 1.3588,                0.77832,                0.75433,                0.80533,                0.51516,                 1.2274,                0.85892,                 1.4215,                0.00171,                0.00171,                0.00171
