                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3034,                 1.6562,                 1.3573,                0.64615,                0.58003,                0.60386,                0.32436,                 1.5137,                 1.5672,                 1.5346,             0.00066219,             0.00066219,             0.00066219
                      2,                 1.4226,                  1.432,                 1.4505,                0.65881,                0.52777,                0.58368,                0.30255,                 1.6221,                 1.5638,                 1.6622,              0.0013179,              0.0013179,              0.0013179
                      3,                 1.4344,                 1.3161,                 1.4315,                0.63298,                0.55398,                0.56784,                0.26333,                 1.7199,                 1.7413,                 1.7541,              0.0019626,              0.0019626,              0.0019626
                      4,                 1.4203,                 1.2915,                 1.4442,                0.65338,                0.56997,                0.62565,                0.32326,                 1.6604,                 1.5161,                 1.6536,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.4113,                 1.2112,                 1.4399,                0.75625,                0.66237,                0.73506,                0.41266,                 1.4745,                 1.2487,                 1.5473,               0.001934,               0.001934,               0.001934
                      6,                  1.381,                 1.1723,                 1.4012,                0.70233,                0.64672,                0.69789,                0.39338,                 1.5047,                 1.2698,                  1.565,              0.0019175,              0.0019175,              0.0019175
                      7,                 1.3412,                 1.1051,                 1.3861,                0.75082,                 0.6797,                0.72537,                0.41077,                 1.4523,                 1.2047,                  1.494,               0.001901,               0.001901,               0.001901
                      8,                 1.3049,                 1.0711,                 1.3609,                0.79576,                0.67259,                0.74894,                0.44934,                 1.3432,                 1.0247,                 1.3961,              0.0018845,              0.0018845,              0.0018845
                      9,                 1.2934,                 1.0567,                 1.3597,                 0.7866,                0.71257,                0.78729,                0.46605,                 1.3636,                 1.0128,                 1.4233,               0.001868,               0.001868,               0.001868
                     10,                   1.29,                 1.0253,                 1.3493,                0.77969,                0.71065,                0.78945,                0.46612,                 1.3604,                 1.0427,                 1.4146,              0.0018515,              0.0018515,              0.0018515
                     11,                 1.2592,                 1.0067,                  1.347,                0.77983,                0.68059,                0.77036,                0.44925,                 1.4074,                   1.14,                 1.4468,               0.001835,               0.001835,               0.001835
