                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3034,                 1.6562,                 1.3573,                0.64615,                0.58003,                0.60386,                0.32436,                 1.5137,                 1.5672,                 1.5346,             0.00066219,             0.00066219,             0.00066219
                      2,                 1.4233,                 1.4256,                 1.4409,                0.60593,                0.60384,                0.59807,                0.29733,                 1.6128,                 1.5349,                 1.6147,              0.0013069,              0.0013069,              0.0013069
                      3,                 1.4314,                 1.3244,                 1.4373,                0.67938,                 0.6213,                0.66037,                0.33516,                  1.531,                 1.4754,                 1.5413,              0.0019297,              0.0019297,              0.0019297
                      4,                 1.4102,                 1.2797,                 1.4418,                0.73846,                0.65749,                0.72261,                0.39226,                 1.4571,                 1.1914,                 1.4984,               0.001901,               0.001901,               0.001901
                      5,                 1.3937,                 1.2032,                 1.4158,                0.75868,                0.69133,                0.74561,                0.42979,                 1.4308,                 1.1198,                 1.4641,               0.001868,               0.001868,               0.001868
                      6,                 1.3775,                 1.1604,                 1.3991,                0.74226,                0.60284,                0.69608,                  0.404,                 1.4657,                 1.2269,                 1.5469,               0.001835,               0.001835,               0.001835
                      7,                 1.3116,                 1.0824,                 1.3664,                0.79742,                0.68025,                 0.7587,                0.44485,                 1.3996,                 1.1171,                 1.4687,               0.001802,               0.001802,               0.001802
                      8,                 1.2952,                 1.0613,                 1.3571,                0.77136,                0.68947,                0.76139,                0.44372,                 1.3898,                 1.0541,                 1.4447,               0.001769,               0.001769,               0.001769
                      9,                 1.2747,                 1.0357,                 1.3473,                0.78462,                0.69658,                 0.7639,                 0.4646,                 1.3559,                 1.0311,                 1.4163,               0.001736,               0.001736,               0.001736
                     10,                 1.2656,                  1.001,                 1.3302,                0.76764,                0.68538,                0.76612,                0.47605,                 1.3156,                 0.9638,                 1.3926,               0.001703,               0.001703,               0.001703
                     11,                   1.24,                0.98833,                 1.3308,                0.74686,                0.72901,                0.76906,                0.46446,                 1.3401,                 1.0639,                 1.4125,                0.00167,                0.00167,                0.00167
                     12,                 1.2304,                0.96504,                 1.3159,                0.79025,                0.70769,                 0.7722,                0.46507,                 1.3672,                 1.0225,                 1.4487,               0.001637,               0.001637,               0.001637
                     13,                 1.2268,                0.94047,                  1.305,                0.78714,                0.72457,                0.78654,                0.49367,                  1.268,                0.93497,                 1.3377,               0.001604,               0.001604,               0.001604
                     14,                  1.211,                0.93135,                  1.291,                0.78075,                0.70714,                0.78212,                0.48554,                 1.2919,                0.95564,                 1.3581,               0.001571,               0.001571,               0.001571
                     15,                 1.2071,                0.92179,                 1.2991,                0.80816,                0.73434,                0.80134,                0.50691,                 1.2692,                0.88791,                 1.3529,               0.001538,               0.001538,               0.001538
                     16,                 1.1809,                0.90424,                 1.2831,                0.76846,                0.72689,                0.78896,                0.48626,                 1.2899,                0.98948,                 1.3594,               0.001505,               0.001505,               0.001505
                     17,                 1.1748,                0.89554,                 1.2761,                0.79305,                0.76233,                0.82467,                0.51683,                 1.2581,                0.87227,                 1.3399,               0.001472,               0.001472,               0.001472
                     18,                 1.1504,                0.85866,                 1.2645,                 0.7947,                0.74545,                0.81177,                0.50895,                 1.2539,                0.87313,                 1.3433,               0.001439,               0.001439,               0.001439
                     19,                 1.1379,                0.85291,                   1.26,                0.78315,                0.71168,                0.78992,                0.48752,                 1.3129,                0.99196,                 1.3982,               0.001406,               0.001406,               0.001406
                     20,                 1.1417,                0.84396,                 1.2501,                0.79183,                0.73656,                0.80481,                0.51162,                 1.2584,                0.85625,                 1.3391,               0.001373,               0.001373,               0.001373
                     21,                 1.1418,                0.84235,                 1.2439,                0.82753,                  0.761,                0.82747,                0.52898,                 1.2175,                0.82358,                 1.2947,                0.00134,                0.00134,                0.00134
                     22,                 1.1046,                0.82449,                 1.2473,                 0.8317,                0.75966,                0.83653,                0.53307,                 1.2224,                0.81279,                 1.3085,               0.001307,               0.001307,               0.001307
                     23,                 1.1217,                0.80848,                  1.238,                0.80504,                0.75078,                0.81662,                0.51292,                 1.2737,                0.83213,                 1.3236,               0.001274,               0.001274,               0.001274
                     24,                 1.1344,                0.81975,                 1.2425,                 0.8291,                0.74056,                0.82248,                0.51485,                 1.2846,                0.85455,                 1.3616,               0.001241,               0.001241,               0.001241
