                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0056,                 2.0247,                 1.3575,                0.53311,                0.66289,                0.61738,                 0.4404,                0.98734,                 1.7614,                 1.5544,             0.00047361,             0.00047361,             0.00047361
                      2,                0.98697,                 1.5044,                 1.3404,                0.56097,                0.75373,                0.65969,                0.44322,                 1.0704,                 1.5112,                 1.6561,             0.00094971,             0.00094971,             0.00094971
                      3,                0.99353,                 1.2984,                 1.3338,                0.66337,                0.78898,                0.76877,                 0.5405,                0.96904,                 1.0749,                 1.5828,              0.0014249,              0.0014249,              0.0014249
                      4,                0.97622,                 1.2056,                 1.3223,                0.61055,                0.80851,                0.77264,                0.57395,                0.91504,                 1.0581,                 1.4532,              0.0014259,              0.0014259,              0.0014259
                      5,                0.95359,                  1.109,                 1.3117,                0.77626,                0.82671,                0.84057,                 0.6336,                 0.8822,                0.84039,                 1.4192,              0.0014234,              0.0014234,              0.0014234
                      6,                0.93142,                 1.0517,                 1.2984,                0.78518,                 0.8018,                0.84293,                0.65312,                0.83416,                0.85355,                 1.3625,              0.0014203,              0.0014203,              0.0014203
                      7,                0.91354,                 1.0234,                 1.2755,                0.79227,                0.81915,                0.87302,                0.68482,                0.79327,                0.79166,                 1.3283,              0.0014165,              0.0014165,              0.0014165
                      8,                 0.8978,                 1.0037,                 1.2688,                0.82454,                0.83462,                0.88577,                0.68522,                0.79154,                 0.7498,                 1.3247,               0.001412,               0.001412,               0.001412
                      9,                0.87595,                0.97289,                 1.2615,                 0.8039,                0.82634,                0.87835,                0.71406,                0.73336,                0.75502,                  1.268,              0.0014068,              0.0014068,              0.0014068
                     10,                0.86207,                0.92938,                 1.2486,                0.81214,                0.85709,                0.90986,                0.73134,                0.73484,                0.66518,                 1.2669,              0.0014009,              0.0014009,              0.0014009
                     11,                0.86418,                  0.922,                 1.2398,                0.70731,                0.85257,                0.86009,                0.66795,                0.80249,                0.82633,                 1.3226,              0.0013944,              0.0013944,              0.0013944
                     12,                0.84089,                0.90393,                 1.2242,                0.84682,                0.85085,                0.92303,                0.74542,                0.72365,                0.61682,                 1.2482,              0.0013872,              0.0013872,              0.0013872
                     13,                 0.8255,                0.88362,                 1.2197,                0.74744,                0.81562,                0.85772,                 0.6834,                0.77419,                0.73676,                 1.3041,              0.0013793,              0.0013793,              0.0013793
                     14,                0.82847,                0.86248,                 1.2185,                0.77778,                0.86342,                0.89509,                0.72103,                0.71289,                0.66015,                 1.2443,              0.0013708,              0.0013708,              0.0013708
                     15,                 0.8191,                0.83978,                 1.2142,                0.81657,                0.88681,                0.91675,                0.75671,                0.70222,                0.61383,                 1.2341,              0.0013617,              0.0013617,              0.0013617
                     16,                0.81806,                0.83005,                    1.2,                0.81056,                0.83617,                0.90479,                0.72655,                0.71806,                0.67996,                 1.2488,              0.0013519,              0.0013519,              0.0013519
                     17,                0.80704,                0.83192,                 1.1999,                0.86485,                0.86031,                0.92825,                0.75311,                0.69587,                0.57109,                  1.228,              0.0013415,              0.0013415,              0.0013415
                     18,                0.78819,                0.80619,                 1.1841,                0.79649,                0.87537,                0.90641,                0.74067,                0.69697,                0.61037,                 1.2349,              0.0013305,              0.0013305,              0.0013305
