                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96406,                 1.7638,                  1.344,                0.53531,                0.64595,                0.63722,                0.45255,                 1.0592,                 1.3927,                 1.6692,             0.00047469,             0.00047469,             0.00047469
                      2,                0.95373,                 1.2307,                 1.3275,                 0.4887,                 0.5716,                0.56107,                0.37678,                 1.2091,                 1.4475,                 1.7559,              0.0009416,              0.0009416,              0.0009416
                      3,                0.95461,                 1.0638,                 1.3333,                0.69713,                0.64021,                0.69415,                0.47209,                 1.1477,                 1.1498,                 1.7365,              0.0013991,              0.0013991,              0.0013991
                      4,                0.93562,                 1.0058,                 1.3097,                0.68782,                0.69324,                0.73285,                0.51557,                  1.075,                0.98304,                 1.6212,              0.0013866,              0.0013866,              0.0013866
                      5,                0.90939,                0.91717,                  1.295,                0.82491,                 0.6344,                0.75106,                0.55866,                0.95964,                0.88461,                 1.5051,              0.0013724,              0.0013724,              0.0013724
                      6,                0.88609,                0.89259,                 1.2706,                0.63977,                0.75227,                0.75637,                 0.5337,                 1.0236,                 1.0086,                 1.5388,              0.0013583,              0.0013583,              0.0013583
                      7,                0.85846,                0.84417,                 1.2553,                0.79399,                0.69688,                0.79473,                0.58588,                0.92719,                0.81346,                 1.4736,              0.0013441,              0.0013441,              0.0013441
                      8,                0.85906,                0.82654,                 1.2574,                0.83893,                0.71753,                0.81804,                0.60774,                0.89895,                0.72628,                 1.4432,                0.00133,                0.00133,                0.00133
                      9,                 0.8321,                0.78944,                 1.2353,                0.77512,                0.76376,                0.83638,                0.64248,                0.81561,                0.75873,                 1.3642,              0.0013158,              0.0013158,              0.0013158
                     10,                0.80913,                0.77048,                 1.2266,                0.81899,                0.80009,                0.86097,                0.66637,                0.82594,                0.65562,                 1.3584,              0.0013017,              0.0013017,              0.0013017
                     11,                0.80602,                0.75292,                 1.2175,                0.80915,                0.79577,                0.85616,                 0.6589,                0.81407,                0.66562,                  1.342,              0.0012875,              0.0012875,              0.0012875
                     12,                0.80314,                0.74126,                  1.222,                0.79753,                0.81734,                0.83835,                0.65228,                0.86165,                0.70078,                 1.3969,              0.0012734,              0.0012734,              0.0012734
                     13,                0.79379,                0.72827,                 1.2162,                0.78767,                  0.857,                0.87097,                0.70105,                0.77551,                0.61371,                 1.3081,              0.0012592,              0.0012592,              0.0012592
