                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0209,                 1.6497,                 1.3749,                0.53307,                0.65384,                0.60326,                0.38014,                 1.1455,                 1.3984,                 1.7293,             0.00047361,             0.00047361,             0.00047361
                      2,                 1.0451,                 1.3032,                 1.3843,                0.50734,                0.62535,                0.61795,                0.41132,                  1.157,                 1.5396,                 1.7373,             0.00094054,             0.00094054,             0.00094054
                      3,                 1.0433,                 1.2078,                 1.3724,                0.65998,                0.80011,                0.78032,                0.53901,                 1.0071,                 1.0349,                 1.6155,               0.001398,               0.001398,               0.001398
                      4,                 1.0211,                 1.1616,                 1.3516,                0.74474,                0.76204,                 0.8152,                0.57584,                 1.0162,                0.97403,                 1.5692,              0.0013866,              0.0013866,              0.0013866
                      5,                0.98195,                 1.1071,                 1.3317,                0.71721,                0.75796,                 0.7802,                0.55497,                0.98776,                 0.9488,                 1.5743,              0.0013724,              0.0013724,              0.0013724
                      6,                0.94601,                 1.0519,                 1.3119,                0.71018,                0.76904,                0.81658,                0.60021,                0.95206,                0.92388,                 1.5477,              0.0013583,              0.0013583,              0.0013583
                      7,                0.91802,                 1.0022,                 1.2827,                 0.7692,                0.84676,                 0.8606,                0.67651,                0.78245,                0.74009,                 1.3325,              0.0013441,              0.0013441,              0.0013441
                      8,                0.89625,                0.97317,                 1.2734,                0.79587,                0.82226,                0.87012,                0.68502,                0.78895,                0.73463,                 1.3306,                0.00133,                0.00133,                0.00133
                      9,                 0.8615,                0.94878,                 1.2522,                 0.7557,                0.84013,                0.86995,                0.67881,                0.80684,                 0.7551,                 1.3444,              0.0013158,              0.0013158,              0.0013158
                     10,                0.87533,                0.90986,                 1.2525,                0.81663,                0.83581,                0.90118,                0.72485,                0.74338,                0.68254,                 1.2623,              0.0013017,              0.0013017,              0.0013017
                     11,                0.85626,                0.89358,                 1.2362,                 0.8179,                0.84912,                 0.8983,                0.70594,                0.75948,                0.65286,                 1.2768,              0.0012875,              0.0012875,              0.0012875
                     12,                0.82937,                0.87384,                 1.2192,                0.81598,                0.86473,                0.90843,                0.73364,                0.72085,                0.64156,                 1.2353,              0.0012734,              0.0012734,              0.0012734
                     13,                0.83063,                0.85726,                 1.2214,                0.80753,                0.87839,                0.89782,                0.73285,                0.71865,                0.62799,                 1.2369,              0.0012592,              0.0012592,              0.0012592
                     14,                0.80672,                0.83643,                 1.2059,                0.70705,                0.83726,                0.84714,                0.66717,                0.75213,                0.80817,                 1.2829,              0.0012451,              0.0012451,              0.0012451
                     15,                 0.8109,                0.81196,                 1.2099,                0.83847,                0.82821,                0.90012,                0.73206,                0.71793,                0.64311,                 1.2309,              0.0012309,              0.0012309,              0.0012309
                     16,                0.80827,                0.80265,                 1.1987,                0.82041,                0.91864,                0.91423,                0.72232,                0.74917,                0.59876,                 1.2713,              0.0012168,              0.0012168,              0.0012168
                     17,                0.80125,                0.80518,                 1.1961,                0.84445,                0.85024,                0.92053,                0.75949,                 0.6858,                0.59082,                 1.2085,              0.0012026,              0.0012026,              0.0012026
                     18,                0.78584,                0.79071,                 1.1864,                0.83276,                0.87497,                0.91683,                0.76289,                0.66543,                0.59501,                 1.1818,              0.0011885,              0.0011885,              0.0011885
                     19,                 0.7711,                  0.766,                 1.1868,                0.85082,                0.89655,                0.93159,                0.77663,                 0.6595,                0.54203,                 1.1945,              0.0011744,              0.0011744,              0.0011744
                     20,                0.76698,                0.76278,                 1.1784,                0.85091,                0.84095,                0.92061,                0.76848,                0.65461,                0.57529,                  1.187,              0.0011602,              0.0011602,              0.0011602
                     21,                0.77862,                0.76665,                 1.1834,                 0.7954,                 0.9188,                0.92764,                0.78182,                0.64187,                0.55353,                 1.1777,              0.0011461,              0.0011461,              0.0011461
                     22,                0.75665,                0.74463,                  1.169,                 0.8692,                0.88513,                0.92862,                0.76813,                0.65815,                0.54753,                 1.1922,              0.0011319,              0.0011319,              0.0011319
                     23,                0.75429,                0.73843,                 1.1678,                0.85366,                0.91802,                0.93969,                0.79314,                0.62805,                0.51805,                 1.1623,              0.0011178,              0.0011178,              0.0011178
                     24,                0.75706,                0.72442,                 1.1708,                0.82578,                0.89921,                0.91658,                0.77423,                 0.6322,                0.53821,                 1.1579,              0.0011036,              0.0011036,              0.0011036
                     25,                0.74432,                0.71809,                 1.1546,                0.86383,                0.91399,                 0.9408,                 0.7953,                0.62532,                 0.5054,                 1.1487,              0.0010895,              0.0010895,              0.0010895
                     26,                0.74427,                0.70549,                 1.1648,                0.85475,                0.91403,                0.93628,                0.78447,                0.63111,                 0.5199,                 1.1742,              0.0010753,              0.0010753,              0.0010753
                     27,                0.72586,                0.68912,                 1.1423,                0.87672,                0.88916,                 0.9404,                 0.7973,                0.61906,                0.52078,                 1.1505,              0.0010612,              0.0010612,              0.0010612
                     28,                0.73772,                0.70337,                 1.1535,                 0.8728,                0.90352,                0.94048,                0.79689,                0.61439,                0.51538,                 1.1437,               0.001047,               0.001047,               0.001047
                     29,                0.73734,                 0.6984,                 1.1536,                0.85099,                0.89101,                0.94039,                0.80836,                0.59812,                0.52575,                  1.131,              0.0010329,              0.0010329,              0.0010329
                     30,                0.71347,                0.68163,                 1.1384,                 0.8925,                 0.9073,                0.95027,                0.80596,                0.61159,                 0.4802,                 1.1439,              0.0010187,              0.0010187,              0.0010187
                     31,                0.70529,                0.65613,                 1.1315,                 0.8634,                0.88399,                0.94293,                0.80168,                0.61128,                0.50329,                 1.1372,              0.0010046,              0.0010046,              0.0010046
                     32,                0.70772,                0.66417,                 1.1378,                0.84432,                0.89369,                0.93901,                 0.8042,                0.60178,                0.50428,                 1.1318,             0.00099044,             0.00099044,             0.00099044
                     33,                0.70796,                0.66099,                 1.1477,                0.88917,                0.90168,                0.94844,                0.80978,                0.59459,                0.48461,                 1.1399,             0.00097629,             0.00097629,             0.00097629
                     34,                0.69479,                0.66264,                 1.1301,                0.88457,                 0.8957,                 0.9388,                0.79523,                0.62501,                0.51365,                 1.1521,             0.00096215,             0.00096215,             0.00096215
                     35,                0.70856,                0.64614,                 1.1335,                0.88152,                0.93661,                0.95727,                0.82039,                0.59845,                0.45561,                 1.1292,               0.000948,               0.000948,               0.000948
                     36,                0.69639,                0.63881,                 1.1281,                0.88046,                0.90854,                 0.9451,                0.81134,                0.60557,                0.47814,                 1.1266,             0.00093385,             0.00093385,             0.00093385
                     37,                0.68608,                0.63085,                 1.1253,                0.88439,                0.92154,                0.95166,                0.82388,                0.59108,                0.45571,                  1.114,              0.0009197,              0.0009197,              0.0009197
                     38,                 0.6847,                0.62804,                 1.1248,                0.89542,                0.91505,                0.94987,                0.81876,                0.58234,                0.44563,                 1.1124,             0.00090556,             0.00090556,             0.00090556
                     39,                0.67416,                0.62027,                 1.1152,                0.91739,                0.91485,                 0.9508,                0.82139,                0.57438,                0.43636,                 1.1074,             0.00089141,             0.00089141,             0.00089141
                     40,                0.67699,                 0.6057,                 1.1124,                0.90529,                0.90676,                0.95686,                0.82698,                0.56529,                0.43694,                 1.0943,             0.00087726,             0.00087726,             0.00087726
                     41,                0.67172,                0.59528,                 1.1072,                0.89943,                0.91312,                0.94955,                0.82279,                0.58278,                0.44578,                 1.1159,             0.00086312,             0.00086312,             0.00086312
                     42,                0.67412,                0.61282,                 1.1128,                0.89932,                0.93316,                0.95865,                0.83154,                0.57701,                0.43622,                 1.1004,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.6782,                0.59443,                  1.117,                0.89877,                0.90063,                0.95096,                0.82316,                0.58589,                0.45349,                 1.1058,             0.00083482,             0.00083482,             0.00083482
                     44,                0.67299,                0.58283,                 1.1081,                0.91576,                 0.9119,                0.95924,                0.82514,                0.58412,                0.42862,                 1.1125,             0.00082067,             0.00082067,             0.00082067
                     45,                0.66579,                0.59035,                 1.1097,                0.89432,                0.91485,                0.95747,                 0.8359,                0.55818,                0.42669,                 1.0833,             0.00080653,             0.00080653,             0.00080653
                     46,                  0.671,                0.58894,                 1.1145,                0.92385,                0.90326,                0.95621,                0.82874,                0.58711,                0.43916,                 1.1063,             0.00079238,             0.00079238,             0.00079238
                     47,                0.65749,                0.57996,                 1.1058,                0.89174,                0.93752,                0.95938,                 0.8335,                0.55553,                0.41909,                 1.0878,             0.00077823,             0.00077823,             0.00077823
                     48,                0.65002,                0.55782,                 1.1006,                0.91675,                 0.9292,                0.95909,                0.83575,                0.56424,                0.40937,                 1.0897,             0.00076409,             0.00076409,             0.00076409
                     49,                0.65424,                0.56605,                 1.0998,                0.91748,                  0.933,                0.95108,                0.83131,                0.55776,                0.42071,                 1.0807,             0.00074994,             0.00074994,             0.00074994
                     50,                0.64779,                0.55335,                 1.0979,                0.91555,                0.92301,                0.95431,                0.82853,                0.56797,                 0.4242,                 1.0965,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.6462,                 0.5537,                  1.107,                0.88106,                 0.9272,                0.95922,                0.83629,                0.55863,                0.42122,                 1.0817,             0.00072164,             0.00072164,             0.00072164
                     52,                0.64867,                0.55206,                 1.1025,                 0.9154,                0.93159,                0.95487,                0.83579,                0.55229,                0.41284,                 1.0794,              0.0007075,              0.0007075,              0.0007075
                     53,                0.64649,                0.54467,                 1.0972,                0.91338,                0.91438,                0.95411,                0.83801,                0.54485,                0.42251,                 1.0706,             0.00069335,             0.00069335,             0.00069335
                     54,                0.64338,                0.54849,                 1.0933,                0.92459,                0.92625,                0.95793,                0.83941,                0.55197,                0.40539,                 1.0774,              0.0006792,              0.0006792,              0.0006792
                     55,                0.63395,                0.52203,                 1.0881,                0.92845,                0.91951,                0.95762,                0.84129,                0.55248,                0.40214,                 1.0763,             0.00066506,             0.00066506,             0.00066506
                     56,                0.63254,                0.53661,                 1.0965,                 0.8877,                 0.9267,                0.95783,                0.84033,                0.55027,                0.41386,                 1.0809,             0.00065091,             0.00065091,             0.00065091
                     57,                 0.6319,                0.54822,                 1.0868,                0.91682,                0.92507,                0.95959,                0.83571,                0.55811,                0.41277,                 1.0872,             0.00063676,             0.00063676,             0.00063676
                     58,                0.63259,                0.53805,                 1.0994,                0.91046,                0.92482,                0.95627,                0.84023,                 0.5464,                0.40088,                 1.0781,             0.00062262,             0.00062262,             0.00062262
                     59,                0.62172,                0.50978,                 1.0805,                0.91784,                0.94404,                0.95774,                0.83901,                0.54617,                0.38641,                 1.0799,             0.00060847,             0.00060847,             0.00060847
                     60,                0.62774,                 0.5227,                 1.0851,                0.92323,                0.92795,                0.95978,                0.84428,                 0.5386,                0.39349,                 1.0699,             0.00059432,             0.00059432,             0.00059432
                     61,                0.61426,                0.51752,                 1.0772,                0.91947,                0.94378,                0.95692,                0.84252,                0.53756,                0.38823,                 1.0716,             0.00058017,             0.00058017,             0.00058017
